"Level/Niveau","Hierarchical structure","Structure hiérarchique","Code","Class title","Superscript","Titres de classes","Supérieurs","Class definition","Définitions de la classe"
4,"Industry","Classe","11121","Vegetable and melon farming","","Culture de légumes et de melons","","This industry comprises establishments primarily engaged in growing vegetables and melons. Establishments primarily engaged in producing vegetable and melon seeds and vegetable and melon bedding plants are also included in this industry.","Cette classe comprend les établissements dont l'activité principale est la culture de légumes et de melons. Sont également compris dans cette classe les établissements dont l'activité principale est la production de semences potagères et de semences de melons ainsi que de légumes et melons à repiquer.    "
5,"Canadian industry","Classe canadienne","111211","Potato farming","US","Culture de pommes de terre","ÉU","This Canadian industry comprises establishments primarily engaged in growing potatoes, yams and seed potatoes.","Cette classe canadienne comprend les établissements dont l'activité principale est la culture de pommes de terre, ignames et de pommes de terre de semence."
5,"Canadian industry","Classe canadienne","111219","Other vegetable (except potato) and melon farming","US","Autres cultures de légumes et de melons (sauf de pommes de terre)","ÉU","This Canadian industry comprises establishments, not classified to any other Canadian industry, primarily engaged in growing vegetables and melons. Establishments primarily engaged in producing vegetable and melon seeds, except seed potatoes, and vegetable and melon bedding plants are also included in this industry.","Cette classe canadienne comprend les établissements qui ne figurent dans aucune autre classe canadienne et dont l'activité principale est la culture de légumes et de melons. Sont également compris dans cette classe canadienne les établissements dont l'activité principale est la production de semences potagères et de semences de melons, sauf les pommes de terre de semence, ainsi que de légumes et de melons à repiquer."
3,"Industry group","Groupe","1113","Fruit and tree nut farming","","Culture de fruits et de noix","","This industry group comprises establishments primarily engaged in growing fruit and nuts.","Ce groupe comprend les établissements dont l'activité principale est la culture des fruits et des noix."
4,"Industry","Classe","11131","Orange groves","","Culture d'oranges","","This industry comprises establishments primarily engaged in growing oranges.","Cette classe comprend les établissements dont l'activité principale est la culture d'oranges."
5,"Canadian industry","Classe canadienne","111310","Orange groves","","Culture d'oranges","","This Canadian industry comprises establishments primarily engaged in growing oranges.","Cette classe canadienne comprend les établissements dont l'activité principale est la culture d'oranges."
4,"Industry","Classe","11132","Citrus (except orange) groves","","Culture d'agrumes (sauf les oranges)","","This industry comprises establishments primarily engaged in growing citrus fruit, except oranges.","Cette classe comprend les établissements dont l'activité principale est la culture d'agrumes, sauf les oranges."
5,"Canadian industry","Classe canadienne","111320","Citrus (except orange) groves","US","Culture d'agrumes (sauf les oranges)","ÉU","This Canadian industry comprises establishments primarily engaged in growing citrus fruit, except oranges.","Cette classe canadienne comprend les établissements dont l'activité principale est la culture d'agrumes, sauf les oranges."
4,"Industry","Classe","11133","Non-citrus fruit and tree nut farming","","Culture de noix et de fruits (sauf les agrumes)","","This industry comprises establishments primarily engaged in growing tree nuts and non-citrus fruit.","Cette classe comprend les établissements dont l'activité principale est la culture des noix et des fruits, sauf les agrumes.    "
5,"Canadian industry","Classe canadienne","111330","Non-citrus fruit and tree nut farming","CAN","Culture de noix et de fruits (sauf les agrumes)","CAN","This Canadian industry comprises establishments primarily engaged in growing tree nuts and non-citrus fruit.","Cette classe canadienne comprend les établissements dont l'activité principale est la culture des noix et des fruits, sauf les agrumes."
3,"Industry group","Groupe","1114","Greenhouse, nursery and floriculture production","","Culture en serre et en pépinière, et floriculture","","This industry group comprises establishments primarily engaged in growing crops of any kind under cover, growing nursery crops and growing flowers. Under cover includes in greenhouses, cold frames, cloth houses, and lath houses. The crops grown are removed at various stages of maturity.","Ce groupe comprend les établissements dont l'activité principale est la culture protégée de toutes sortes, la culture en pépinière et la floriculture. La culture sous-abri comprend notamment la culture en serre, sous châssis froid, sous un abri en coton ou sous un abri en lattis. Les plantes cultivées en sont retirées lorsqu'elles atteignent divers stades de maturité."
4,"Industry","Classe","11141","Food crops grown under cover","","Culture vivrière en serre","","This industry comprises establishments primarily engaged in growing food crops under glass or protective cover.","Cette classe comprend les établissements dont l'activité principale est la culture vivrière en serre ou sous abri.    "
5,"Canadian industry","Classe canadienne","111411","Mushroom production","US","Culture de champignons","ÉU","This Canadian industry comprises establishments primarily engaged in growing mushrooms under cover.","Cette classe canadienne comprend les établissements dont l'activité principale est la culture sous-abri de champignons."
5,"Canadian industry","Classe canadienne","111419","Other food crops grown under cover","US","Autres cultures vivrières en serre","ÉU","This Canadian industry comprises establishments, not classified to any other Canadian industry, primarily engaged in growing food crops under glass or protective cover.","Cette classe canadienne comprend les établissements qui ne figurent dans aucune autre classe canadienne et dont l'activité principale est la culture vivrière en serre ou sous abri."
4,"Industry","Classe","11142","Nursery and floriculture production","","Culture en pépinière et floriculture","","This industry comprises establishments primarily engaged in growing, under cover or in open fields, nursery and floriculture products, such as nursery stock, shrubbery, cut flowers, flower seeds, potted flowering and foliage plants, flower bedding plants, ornamental plants, or some combination of these, and propagating materials, for example, plugs, cuttings, and tissue cultures. The growing of short rotation woody crops, such as cut Christmas trees and cottonwoods for pulpwood, that have a typical growth cycle of less than ten years or less, is also included in this industry.","Cette classe comprend les établissements dont l'activité principale est la culture, sous abri ou en plein champ, de produits de pépinière et de floriculture comme le matériel de reproduction en pépinière, les arbustes, les fleurs coupées, les graines de fleurs, les fleurs et les plantes vertes en pots, les plantes à fleurs à repiquer, les plantes d'ornement, ou une combinaison de ces cultures, et la production de matériel de propagation, par exemple, les mottes de plantation, les boutures et les cultures de tissus. Est également comprise dans cette classe la culture de plantes ligneuses à courte rotation, comme les arbres de Noël coupés et les peupliers deltoïdes destinés à la production de pâte à papier qui, normalement, ont un cycle de croissance de moins de dix ans."
5,"Canadian industry","Classe canadienne","111421","Nursery and tree production","US","Culture en pépinière et arboriculture","ÉU","This Canadian industry comprises establishments primarily engaged in growing, under cover or in open fields, nursery products and trees, and short rotation woody crops, for pulp and tree stock, that have a typical growth cycle of less than ten years.","Cette classe canadienne comprend les établissements dont l'activité principale est la culture, sous abri ou en plein champ, de produits de pépinière et d'arbres, et les plantes ligneuses à courte rotation destinées à la production de pâte et d'arbres à replanter qui, normalement, ont un cycle de croissance de moins de dix ans."
5,"Canadian industry","Classe canadienne","111422","Floriculture production","US","Floriculture","ÉU","This Canadian industry comprises establishments primarily engaged in growing, under cover or in open fields, floriculture products and propagating materials.","Cette classe canadienne comprend les établissements dont l'activité principale est la culture protégée ou en plein champ de produits de floriculture et la production de matériel de propagation."
3,"Industry group","Groupe","1119","Other crop farming","","Autres cultures agricoles","","This industry group comprises establishments, not classified to any other industry group, primarily engaged in growing crops, such as tobacco, peanuts, sugarbeets, cotton, sugar-cane, hay, agave, herbs and spices, mint, hops, and hay and grass seeds. Combination crop farming and the gathering of maple sap are included in this industry group.","Ce groupe comprend les établissements qui ne figurent dans aucun autre groupe et dont l'activité principale est la culture d'autres produits agricoles, comme le tabac, les arachides, la betterave à sucre, le coton, la canne à sucre, le foin, l'agave, les herbes et épices, la menthe, le houblon et les semences de foin et de graminées. Les cultures agricoles mixtes et la récolte de l'eau d'érable sont comprises dans ce groupe."
4,"Industry","Classe","11191","Tobacco farming","","Culture du tabac","","This industry comprises establishments primarily engaged in growing tobacco.","Cette classe comprend les établissements dont l'activité principale est la culture du tabac."
5,"Canadian industry","Classe canadienne","111910","Tobacco farming","","Culture du tabac","","This Canadian industry comprises establishments primarily engaged in growing tobacco.","Cette classe canadienne comprend les établissements dont l'activité principale est la culture du tabac."
4,"Industry","Classe","11192","Cotton farming","","Culture du coton","","This industry comprises establishments primarily engaged in growing cotton.","Cette classe comprend les établissements dont l'activité principale est la culture du coton."
5,"Canadian industry","Classe canadienne","111920","Cotton farming","","Culture du coton","","This Canadian industry comprises establishments primarily engaged in growing cotton.","Cette classe canadienne comprend les établissements dont l'activité principale est la culture du coton."
4,"Industry","Classe","11193","Sugar cane farming","","Culture de la canne à sucre","","This industry comprises establishments primarily engaged in growing sugar cane.","Cette classe comprend les établissements dont l'activité principale est la culture de la canne à sucre."
5,"Canadian industry","Classe canadienne","111930","Sugar cane farming","","Culture de la canne à sucre","","This Canadian industry comprises establishments primarily engaged in growing sugar cane.","Cette classe canadienne comprend les établissements dont l'activité principale est la culture de la canne à sucre."
4,"Industry","Classe","11194","Hay farming","","Culture du foin","","This industry comprises establishments primarily engaged in growing hay, grasses and mixed hay.","Cette classe comprend les établissements dont l'activité principale est la culture du foin, de graminées et de mélanges de foin.    "
5,"Canadian industry","Classe canadienne","111940","Hay farming","US","Culture du foin","ÉU","This Canadian industry comprises establishments primarily engaged in growing hay, grasses and mixed hay.","Cette classe canadienne comprend les établissements dont l'activité principale est la culture du foin, de graminées et de mélanges de foin."
4,"Industry","Classe","11199","All other crop farming","","Toutes les autres cultures agricoles","","This industry comprises establishments, not classified to any other industry, primarily engaged in growing crops, such as peanuts, sugarbeets, agave, hay and grass seeds, herbs and spices, hops and algae, and gathering tea and maple sap. Establishments primarily engaged in general crop farming or combination crop farming, such as combination fruit and vegetable farming, are also included in this industry.","Cette classe comprend les établissements qui ne figurent dans aucune autre classe et dont l'activité principale est la culture d'autres produits agricoles, comme les arachides, la betterave à sucre, l'agave, les semences de foin et de graminées, les herbes et épices, le houblon et les algues, de même que la récolte du thé et de l'eau d'érable. Sont également compris dans cette classe les établissements dont l'activité principale est la culture agricole générale ou la culture mixte, comme la culture mixte de fruits et de légumes."
5,"Canadian industry","Classe canadienne","111993","Fruit and vegetable combination farming","CAN","Culture mixte de fruits et de légumes","CAN","This Canadian industry comprises establishments primarily engaged in growing a combination of fruit and vegetables.","Cette classe canadienne comprend les établissements dont l'activité principale est la culture mixte de fruits et de légumes."
5,"Canadian industry","Classe canadienne","111994","Maple syrup and products production","CAN","Production de sirop d'érable et d'autres produits de l'érable","CAN","This Canadian industry comprises establishments primarily engaged in gathering maple sap and producing maple products. Establishments primarily engaged in producing maple products in plants are also included.","Cette classe canadienne comprend les établissements dont l'activité principale consiste à recueillir la sève de l'érable et à fabriquer des produits de l'érable. Sont inclus les établissements dont l'activité principale consiste à fabriquer des produits de l'érable en usine."
5,"Canadian industry","Classe canadienne","111999","All other miscellaneous crop farming","CAN","Toutes les autres cultures agricoles diverses","CAN","This Canadian industry comprises establishments, not classified to any other Canadian industry, primarily engaged in growing crops. Establishments primarily engaged in general crop farming or combination crop farming (except combination fruit and vegetable farming), are also included in this Canadian industry.","Cette classe canadienne comprend les établissements qui ne figurent dans aucune autre classe canadienne et dont l'activité principale est la culture d'autres produits agricoles. Sont également compris dans cette classe canadienne les établissements dont l'activité principale est la culture agricole générale ou la culture mixte (sauf la culture mixte de fruits et de légumes)."
2,"Subsector","Sous-secteur","112","Animal production and aquaculture","","Élevage et aquaculture","","This subsector comprises establishments, such as ranches, farms and feedlots, primarily engaged in raising animals, producing animal products and fattening animals. Industries have been created taking into account input factors such as suitable grazing or pasture land, specialized buildings, type of equipment, and the amount and type of labour required.    An establishment is classified within this subsector provided that fifty percent or more of the establishment's agricultural production consists of animal production or aquaculture. Establishments with fifty percent or more animal production or aquaculture and with no one product or family of products accounting for fifty percent of the production are treated as combination animal farms and classified to 11299 All other animal production.","Ce sous-secteur comprend les établissements, comme les ranchs, les fermes et les parcs d'engraissement, dont l'activité principale est l'élevage, la production de produits d'origine animale et l'engraissement des animaux. Les facteurs d'intrant, notamment la qualité des pâturages, les bâtiments spécialisés, le type de matériel, la quantité et le type de main-d'oeuvre requis, ont été pris en considération dans la définition des classes.    Un établissement est rangé dans ce sous-secteur si 50 % ou plus de sa production est l'élevage d'animaux ou l'aquaculture. Les établissements dont 50 % ou plus des activités se rapportent à l'élevage d'animaux ou l'aquaculture, mais dont aucun produit ou famille de produits ne représente 50 % de la production, sont considérés comme des fermes d'élevage mixte et figurent à la rubrique 11299 Tous les autres types d'élevage."
3,"Industry group","Groupe","1121","Cattle ranching and farming","","Élevage de bovins","","This industry group comprises establishments primarily engaged in raising, milking and fattening cattle.","Ce groupe comprend les établissements dont l'activité principale est l'élevage, la traite et l'engraissement de bovins."
4,"Industry","Classe","11211","Beef cattle ranching and farming, including feedlots","","Élevage de bovins de boucherie, y compris l'exploitation de parcs d'engraissement","","This industry comprises establishments primarily engaged in raising and fattening cattle. The raising of cattle for dairy herd replacements is also included in this industry.","Cette classe comprend les établissements dont l'activité principale est l'élevage et l'engraissement de bovins. Est également compris dans cette classe l'élevage de bovins en vue du renouvellement du troupeau laitier."
5,"Canadian industry","Classe canadienne","112110","Beef cattle ranching and farming, including feedlots","CAN","Élevage de bovins de boucherie, y compris l'exploitation de parcs d'engraissement","CAN","This Canadian industry comprises establishments primarily engaged in raising and fattening cattle. The raising of cattle for dairy herd replacements is also included in this industry.","Cette classe canadienne comprend les établissements dont l'activité principale est l'élevage et l'engraissement de bovins. Est également compris dans cette classe l'élevage de bovins en vue du renouvellement du troupeau laitier."
4,"Industry","Classe","11212","Dairy cattle and milk production","","Élevage de bovins laitiers et production laitière","","This industry comprises establishments primarily engaged in milking dairy cattle.","Cette classe comprend les établissements dont l'activité principale est la traite de bovins laitiers."
5,"Canadian industry","Classe canadienne","112120","Dairy cattle and milk production","","Élevage de bovins laitiers et production laitière","","This Canadian industry comprises establishments primarily engaged in milking dairy cattle.","Cette classe canadienne comprend les établissements dont l'activité principale est la traite de bovins laitiers."
3,"Industry group","Groupe","1122","Hog and pig farming","","Élevage de porcs","","This industry group comprises establishments primarily engaged in raising hogs and pigs.","Ce groupe comprend les établissements dont l'activité principale est l'élevage de porcs."
4,"Industry","Classe","11221","Hog and pig farming","","Élevage de porcs","","This industry comprises establishments primarily engaged in raising hogs and pigs.","Cette classe comprend les établissements dont l'activité principale est l'élevage de porcs."
5,"Canadian industry","Classe canadienne","112210","Hog and pig farming","US","Élevage de porcs","ÉU","This Canadian industry comprises establishments primarily engaged in raising hogs and pigs.","Cette classe canadienne comprend les établissements dont l'activité principale est l'élevage de porcs."
3,"Industry group","Groupe","1123","Poultry and egg production","","Élevage de volailles et production d'oeufs","","This industry group comprises establishments primarily engaged in breeding, hatching and raising poultry for meat or egg production.","Ce groupe comprend les établissements dont l'activité principale est la reproduction, l'accouvage et l'élevage de volailles d'abattage et de pondeuses."
4,"Industry","Classe","11231","Chicken egg production","","Production d'oeufs de poules","","This industry comprises establishments primarily engaged in raising chickens for the production of eggs, including hatching eggs.","Cette classe comprend les établissements dont l'activité principale est l'élevage de poules en vue de la production d'oeufs, y compris les oeufs d'incubation."
5,"Canadian industry","Classe canadienne","112310","Chicken egg production","US","Production d'oeufs de poules","ÉU","This Canadian industry comprises establishments primarily engaged in raising chickens for the production of eggs, including hatching eggs.","Cette classe canadienne comprend les établissements dont l'activité principale est l'élevage de poules en vue de la production d'oeufs, y compris les oeufs d'incubation."
4,"Industry","Classe","11232","Broiler and other meat-type chicken production","","Élevage de poulets à griller et d'autres volailles d'abattage","","This industry comprises establishments primarily engaged in raising chickens for the production of meat.","Cette classe comprend les établissements dont l'activité principale est l'élevage de poulets destinés à l'abattage."
5,"Canadian industry","Classe canadienne","112320","Broiler and other meat-type chicken production","","Élevage de poulets à griller et d'autres volailles d'abattage","","This Canadian industry comprises establishments primarily engaged in raising chickens for the production of meat.","Cette classe canadienne comprend les établissements dont l'activité principale est l'élevage de poulets destinés à l'abattage."
4,"Industry","Classe","11233","Turkey production","","Élevage de dindons","","This industry comprises establishments primarily engaged in raising turkeys.","Cette classe comprend les établissements dont l'activité principale est l'élevage de dindons."
5,"Canadian industry","Classe canadienne","112330","Turkey production","","Élevage de dindons","","This Canadian industry comprises establishments primarily engaged in raising turkeys.","Cette classe canadienne comprend les établissements dont l'activité principale est l'élevage de dindons."
4,"Industry","Classe","11234","Poultry hatcheries","","Couvoirs","","This industry comprises establishments primarily engaged in hatching poultry of any kind.","Cette classe comprend les établissements dont l'activité principale est l'incubation d'oeufs de volailles de toutes sortes."
5,"Canadian industry","Classe canadienne","112340","Poultry hatcheries","","Couvoirs","","This Canadian industry comprises establishments primarily engaged in hatching poultry of any kind.","Cette classe canadienne comprend les établissements dont l'activité principale est l'incubation d'oeufs de volailles de toutes sortes."
4,"Industry","Classe","11239","Other poultry production","","Élevage d'autres volailles","","This industry comprises establishments, not classified to any other industry, primarily engaged in raising poultry such as ducks, geese, pheasant, quail, ostriches and emus. Establishments primarily engaged in raising a combination of poultry for meat and egg production, with no one predominating, are also included in this industry.","Cette classe comprend les établissements qui ne figurent dans aucune autre classe et dont l'activité principale est l'élevage de volailles comme les canards, les oies, les faisans, les cailles, les autruches et les émeus. Les établissements dont l'activité principale est l'élevage mixte de volailles d'abattage et de pondeuses sont également compris dans cette classe lorsqu'aucune activité animal ne prédomine."
5,"Canadian industry","Classe canadienne","112391","Combination poultry and egg production","CAN","Élevage de volailles combiné à la production d'oeufs","CAN","This Canadian industry comprises establishments primarily engaged in raising any combination of poultry for meat and egg production, with no one predominating.","Cette classe canadienne comprend les établissements dont l'activité principale est l'élevage mixte de volailles pour l'abattage et la production d'oeufs, lorsqu'aucune activité ne prédomine."
5,"Canadian industry","Classe canadienne","112399","All other poultry production","CAN","Élevage de toutes autres volailles","CAN","This Canadian industry comprises establishments, not classified to any other Canadian industry, primarily engaged in raising poultry such as ducks, geese, pheasant, quail, ostriches and emus.","Cette classe canadienne comprend les établissements, qui ne figurent dans aucune autre classe canadienne, et dont l'activité principale est l'élevage d'autres volailles, comme les canards, les oies, les faisans, les cailles, les autruches et les émeus."
3,"Industry group","Groupe","1124","Sheep and goat farming","","Élevage de moutons et de chèvres","","This industry group comprises establishments primarily engaged in raising sheep and goats, and feeding or fattening lambs.","Ce groupe comprend les établissements dont l'activité principale est l'élevage de moutons et de chèvres ainsi que l'alimentation ou l'engraissement des agneaux."
4,"Industry","Classe","11241","Sheep farming","","Élevage de moutons","","This industry comprises establishments primarily engaged in raising sheep and lambs, and feeding or fattening lambs.","Cette classe comprend les établissements dont l'activité principale est l'élevage de moutons et d'agneaux ainsi que l'alimentation ou l'engraissement des agneaux."
5,"Canadian industry","Classe canadienne","112410","Sheep farming","US","Élevage de moutons","ÉU","This Canadian industry comprises establishments primarily engaged in raising sheep and lambs, and feeding or fattening lambs.","Cette classe canadienne comprend les établissements dont l'activité principale est l'élevage de moutons et d'agneaux ainsi que l'alimentation ou l'engraissement des agneaux."
4,"Industry","Classe","11242","Goat farming","","Élevage de chèvres","","This industry comprises establishments primarily engaged in raising goats.","Cette classe comprend les établissements dont l'activité principale est l'élevage de chèvres."
5,"Canadian industry","Classe canadienne","112420","Goat farming","","Élevage de chèvres","","This Canadian industry comprises establishments primarily engaged in raising goats.","Cette classe canadienne comprend les établissements dont l'activité principale est l'élevage de chèvres."
3,"Industry group","Groupe","1125","Aquaculture","","Aquaculture","","This industry group comprises establishments primarily engaged in farm-raising aquatic animals and plants. Establishments primarily engaged in raising both aquatic animals and plants in integrated growing operations, aquaponics, are also included. These activities can occur both in natural waters and in artificial aquatic impoundments and include the use of some form of intervention in the rearing or growing process to enhance production.","Ce groupe comprend les établissements dont l'activité principale est l'élevage d'animaux et la culture de plantes aquatiques. Sont inclus les établissements dont l'activité principale consiste en la culture intégrée d'animaux et de plantes aquatiques, activité appelée culture aquaponique. Cette activité peut avoir lieu tant dans des plans d'eau naturels que dans des bassins artificiels, et elle comprend une forme donnée d'intervention dans le processus de culture dont l'objet est de rehausser la production."
4,"Industry","Classe","11251","Aquaculture","","Aquaculture","","This industry comprises establishments primarily engaged in farm-raising aquatic animals and plants. Establishments primarily engaged in raising both aquatic animals and plants in integrated growing operations, aquaponics, are also included. These activities can occur both in natural waters and in artificial aquatic impoundments and include the use of some form of intervention in the rearing or growing process to enhance production.","Cette classe comprend les établissements dont l'activité principale est l'élevage d'animaux et la culture de plantes aquatiques. Sont inclus les établissements dont l'activité principale consiste en la culture intégrée d'animaux et de plantes aquatiques, activité appelée culture aquaponique. Cette activité peut avoir lieu tant dans des plans d'eau naturels que dans des bassins artificiels, et elle comprend une forme donnée d'intervention dans le processus de culture dont l'objet est de rehausser la production."
5,"Canadian industry","Classe canadienne","112510","Aquaculture","CAN","Aquaculture","CAN","This Canadian industry comprises establishments primarily engaged in farm-raising aquatic animals and plants. Establishments primarily engaged in raising both aquatic animals and plants in integrated growing operations, aquaponics, are also included. These activities can occur both in natural waters and in artificial aquatic impoundments and include the use of some form of intervention in the rearing or growing process to enhance production.","Cette classe canadienne comprend les établissements dont l'activité principale est l'élevage d'animaux et la culture de plantes aquatiques. Sont inclus les établissements dont l'activité principale consiste en la culture intégrée d'animaux et de plantes aquatiques, activité appelée culture aquaponique. Cette activité peut avoir lieu tant dans des plans d'eau naturels que dans des bassins artificiels, et elle comprend une forme donnée d'intervention dans le processus de culture dont l'objet est de rehausser la production."
